facility_name,provider,latitude,longitude,state,operator_class,cooling_type,source_url,notes
Meta Fort Worth TX (hybrid site),Meta,32.8975,-97.29,TX,hyperscaler_self,hybrid,https://sustainability.fb.com/wp-content/uploads/2024/06/Meta-2024-Sustainability-Report.pdf,"Meta 2024 Sustainability Report, site profile: outside-air economizer with adiabatic support on hottest days. Hybrid cooling."
Meta Eagle Pass TX (hybrid site),Meta,28.7091,-100.4995,TX,hyperscaler_self,hybrid,https://sustainability.fb.com/wp-content/uploads/2024/06/Meta-2024-Sustainability-Report.pdf,"Meta 2024 Sustainability Report, site profile: outside-air economizer with adiabatic support. Hot TX climate, mostly air with some adiabatic on hot days."
Google Mayes County OK,Google,36.3304,-95.3195,OK,hyperscaler_self,evaporative,https://www.google.com/about/datacenters/locations/,Google 2024 Env Report + Data Center Locations page. Mayes County OK uses cooling towers (evaporative). Warm humid climate.
Google The Dalles OR,Google,45.5997,-121.1785,OR,hyperscaler_self,hybrid,https://www.google.com/about/datacenters/locations/,Google 2024 Env Report: The Dalles uses outside-air economizer for most of the year; adiabatic cooling for the hottest days. Hybrid.
Google Council Bluffs IA,Google,41.2619,-95.8608,IA,hyperscaler_self,evaporative,https://www.google.com/about/datacenters/locations/,"Google 2024 Env Report: Council Bluffs uses cooling towers. Hot humid summers, evaporative cooling year-round."
Google Lenoir NC,Google,35.914,-81.539,NC,hyperscaler_self,evaporative,https://www.google.com/about/datacenters/locations/,Google 2024 Env Report: Lenoir NC uses cooling towers.
Google Moncks Corner SC,Google,33.1959,-80.0142,SC,hyperscaler_self,evaporative,https://www.google.com/about/datacenters/locations/,Google 2024 Env Report: Moncks Corner uses cooling towers. Hot humid SC climate.
Google Henderson NV,Google,36.0395,-114.9817,NV,hyperscaler_self,evaporative,https://www.google.com/about/datacenters/locations/,Google 2024 Env Report: Henderson NV uses cooling towers. Hot dry desert climate; high water use.
Google Douglas County GA,Google,33.77,-84.75,GA,hyperscaler_self,evaporative,https://www.google.com/about/datacenters/locations/,Google 2024 Env Report: Douglas County GA uses cooling towers.
Google Berkeley County SC,Google,33.1936,-80.0086,SC,hyperscaler_self,evaporative,https://www.google.com/about/datacenters/locations/,Google 2024 Env Report: Berkeley County SC uses cooling towers. Adjacent to Moncks Corner.
Microsoft San Antonio TX (water-side economizer),Microsoft,29.535,-98.47,TX,hyperscaler_self,evaporative,https://aka.ms/sustainability/download,"Microsoft 2024 Sustainability Report: San Antonio uses cooling towers with water-side economizer. Hot TX climate, high WUE."
Equinix DC2 Ashburn VA (industry default: air),Equinix,39.0163,-77.4588,VA,colocation_major,air,https://www.equinix.com/data-centers/americas/ashburn,Equinix Ashburn IBX. Industry default: air-cooled (CRAC units) with chilled water. No adiabatic in this climate. Same pattern as DC4 DC5 DC6 DC7 DC10 DC11 DC12 DC13 DC15 (all Ashburn).
Equinix LA1 Los Angeles CA (industry default: air),Equinix,34.0522,-118.2437,CA,colocation_major,air,https://www.equinix.com/data-centers/americas/los-angeles,Equinix LA1 LA. Industry default: air-cooled CRAC. Mild climate.
Equinix SV1 Silicon Valley CA (industry default: air),Equinix,37.3861,-122.0839,CA,colocation_major,air,https://www.equinix.com/data-centers/americas/silicon-valley,Equinix SV1. Industry default: air-cooled CRAC. Mild CA climate.
Equinix NY4 Secaucus NJ (industry default: air),Equinix,40.7764,-74.0698,NJ,colocation_major,air,https://www.equinix.com/data-centers/americas/new-york,Equinix NY4 Secaucus. Industry default: air-cooled CRAC.
Equinix CH1 Chicago IL (industry default: air),Equinix,41.8781,-87.6298,IL,colocation_major,air,https://www.equinix.com/data-centers/americas/chicago,Equinix CH1. Industry default: air-cooled CRAC. Cold winters mild summers.
Equinix DA1 Dallas TX (industry default: air),Equinix,32.8998,-96.85,TX,colocation_major,hybrid,https://www.equinix.com/data-centers/americas/dallas,"Equinix DA1. Hot TX climate, adiabatic assist on hot days. Hybrid."
Equinix MI1 Miami FL (industry default: air),Equinix,25.7617,-80.1918,FL,colocation_major,hybrid,https://www.equinix.com/data-centers/americas/miami,"Equinix MI1. Hot humid FL climate, adiabatic assist. Hybrid."
Equinix AT1 Atlanta GA (industry default: air),Equinix,33.749,-84.388,GA,colocation_major,air,https://www.equinix.com/data-centers/americas/atlanta,Equinix AT1. Industry default: air-cooled CRAC. Humid subtropical.
Digital Realty Loudoun VA (industry default: air),Digital Realty,39.05,-77.47,VA,colocation_major,air,https://www.digitalrealty.com/data-centers/americas,"Digital Realty Loudoun. Industry default: air-cooled CRAC. Mild VA climate, no adiabatic needed."
Digital Realty Richardson TX (hybrid),Digital Realty,32.9483,-96.7299,TX,colocation_major,hybrid,https://www.digitalrealty.com/data-centers/americas,"Digital Realty Richardson. Hot TX climate, adiabatic assist. Hybrid."
QTS Ashburn VA (industry default: air),QTS Data Centers,39.01,-77.53,VA,colocation_major,air,https://qtsdatacenters.com/data-centers/ashburn,QTS Ashburn. Industry default: air-cooled CRAC. Mild VA climate.
Switch Las Vegas NV (industry default: evaporative),Switch,36.1699,-115.1398,NV,colocation_major,evaporative,https://www.switch.com/data-centers/,"Switch Las Vegas (now DataBank). Hot dry climate, designed around evaporative cooling. Switch's patented design."
Switch Tahoe Reno NV (industry default: hybrid),Switch,39.521,-119.812,NV,colocation_major,hybrid,https://www.switch.com/data-centers/,"Switch Tahoe Reno. High-altitude NV, mostly air with adiabatic on hot days. Hybrid."
